GEOID,area (m2)
24021,117583818.37752964
24031,559544905.3167877
24045,126061004.72486213
24029,30563327.678151768
24047,207084026.07700738
24023,359535107.04986906
24015,67640605.07796054
24039,233608019.93597022
24027,68983637.24297759
24019,338637625.06380415
24025,34297502.58456894
24035,37887045.53127671
24009,22944704.959082164
24510,8361929.0598712135
24037,48556928.31702793
24013,62087346.08373117
24041,11932961.218953853
01001,40037499.3451965
01005,110826886.69274715
01023,16281417.52665871
01035,398049.49066917406
01051,27782513.528240077
01055,1595951.947983851
01065,185618533.5910219
01089,153772017.4162121
01113,68819871.92326716
01117,14239313.532571353
01049,35456227.62521533
01063,16450377.719211912
01087,46145979.44137909
01091,904850.5970749788
01095,2139427.1216791333
01101,1976771.5366034573
01107,82949.61010831271
01115,2127018.7282722276
01119,11679383.507017916
01131,1049033.8801261836
01043,1414405.9155550203
01033,143578663.97787532
01041,4363755.137660497
01009,696721.1561014797
01047,41993992.49451959
01039,1312800.8036284053
01061,29730527.93716582
01075,1630794.0217617496
01013,578687.6445522808
01015,188045073.79672128
01073,18172977.942663573
01129,21669.698476711772
01071,23831475.673009608
01021,163160546.25822568
01027,594369425.5331514
01029,547194217.3644817
01093,119695.3185350399
01103,51101304.66045168
01133,17739076.22215748
01059,366448.6719043617
01097,20352667.422155105
01037,76111205.90328875
01017,848346.0974861472
01057,351432.00789570174
01111,114880.3268702707
01053,4585094.464520137
01067,577551.2074771242
01077,6831844.267689928
01083,55699396.46841244
01125,103186041.46481311
01007,441535971.0069962
01019,49018281.890574545
01085,5466998.432832
01045,8289184.310350447
01105,459247161.4043353
01011,11008480.53280784
01003,39609447.71692493
01109,1862144.5749720605
01127,457915.90006260003
01031,829039.67836451
01123,4422219.217500914
01099,11366321.103991594
01079,87657424.19648041
01025,442198.1658875355
01081,28559027.969653424
01069,4349496.277125294
01121,410597913.65292645
02016,5326834337.387433
02130,12624440637.669905
02180,7480720652.435832
02282,13508925442.723452
02090,15747893.759810288
02158,5591834482.37039
02240,12496456571.079731
02050,6575314668.240613
02195,7515043683.693284
02100,3368285861.5079875
02170,1487698960.2425933
02290,106733657406.7081
02070,5577172196.107193
02110,6963636504.03289
02150,11010513438.798115
02220,7478407642.433664
02261,42789505005.02412
02020,18530116.63450129
02060,201119731.67666495
02068,8593373787.994585
02188,52599679033.44583
02230,403810168.4167702
02275,6671871226.751
02013,5324840799.452194
02185,65178712627.057755
02122,21301533406.084297
02164,24706190810.995296
02198,13299428957.983034
02105,8384645966.106795
04005,16348568364.92833
04009,856699392.2676581
04013,3994656621.280382
04007,1034042700.2393023
04001,423223305.90265125
04011,795719237.4036816
04023,179565199.30820212
04021,827842032.0491704
04003,942507007.6656413
04017,45706525.07526964
04015,7300267876.977585
04019,5498323160.231147
04025,3354723040.7914433
04027,4105230295.446121
04012,1635374111.5164955
05011,119445.47628404561
05015,519823.2613847917
05019,1530089.731382371
05025,32065.005005434174
05063,976294.5082795701
05067,289951.6423302884
05121,43544269.70231905
05061,364470.31146513234
05093,2284258.009542897
05095,155026244.26639044
05099,364674.2080208222
05103,238427.80532791218
05109,8340868.716624252
05117,236622.71508206302
05133,240643.61825992985
05147,117396.73463802872
05003,653933.8022251562
05007,53704449.33185258
05013,21600.374097247164
05045,34555578.26581467
05039,195647.92100990203
05001,10874623.835312214
05029,144438.57264877763
05057,5197504.781974894
05041,203553.0859898085
05119,78540616.19712076
05073,163611.38996422244
05085,21315648.361621182
05145,2170892.5036830623
05017,1577265.2150969035
05053,95468.6432818633
05069,3141768.726135082
05107,209988.57965043132
05043,169017.89015933327
05049,3585307.533913245
05135,22522.775866183456
05101,0.0
05105,59308.81596362014
05115,365145.02371246327
05005,688263.3422564197
05009,34232.61569242916
05077,110622.62167105555
05129,915245.2200701135
05149,1538149.1378061126
05021,72346663.0865001
05023,71469.19641567656
05037,972080.4442138141
05051,106248370.37833986
05089,66093.75329888103
05113,95778149.79164432
05055,1090610.5931387325
05065,6243992.658006363
05071,189983.18290915637
05083,17572221.259063534
05031,1048429.5136334931
05123,266270.6668463061
05141,29195969.46625036
05047,8259329.468677976
05137,308025.9701829955
05111,1792054.516703652
05027,432166.9202438931
05125,3419803.902058917
05079,52049.081639123615
05127,45734720.0155552
05035,249545.2938251307
05097,390656561.5401723
05091,1926805.6642304708
05087,52023.27023199223
05033,6876230.163693449
05081,11738184.70345224
05139,511801.37766842893
05059,44589.165897672494
05143,12510959.591491785
05075,194657.78224365556
05131,32633195.642007027
06001,260032189.131843
06003,1032171924.6164124
06005,90144817.58967325
06013,370433097.9098424
06019,3906765188.3447843
06023,2954643154.3873906
06033,1224459019.2806149
06037,3450274781.861091
06047,259746797.39297956
06057,415942770.7807129
06081,306585275.1174312
06085,882338950.8289382
06115,35219386.983377375
06045,3201088251.827428
06051,2849783825.702474
06055,249384316.5733391
06059,159041032.07008547
06069,126988925.18926822
06073,3201755904.6003942
06079,1218629689.49689
06083,1478258296.3295958
06097,202260243.14044347
06101,2033031.6458325363
06107,4997219638.499819
06113,185046173.35916853
06039,983089457.3134663
06009,23288599.31680366
06043,1035443393.0921918
06095,126698430.80405964
